reference_id,target,booking_source,car_price,payment_mode_percent,token_type,emirates_of_registration,customer_nationality,test_drive_type,customer_age,customer_salary_bank,customer_salary,existing_emi,car_type,odo,model_year,car_age,loan_tenure,car_emi,new_emi,dbr,country_code_column,api_1_data_phone_basic_phoneValid,api_1_data_phone_basic_phoneDisposable,api_1_data_phone_basic_ported,api_1_data_phone_basic_portedHistory_changeInCarrierRegion,api_1_data_phone_social_profiles_emailProvider_google_registered,api_1_data_phone_social_profiles_ecommerce_amazon_registered,api_1_data_phone_social_profiles_socialMedia_facebook_registered,api_1_data_phone_social_profiles_socialMedia_twitter_registered,api_1_data_phone_social_profiles_socialMedia_instagram_registered,api_1_data_phone_social_profiles_professional_microsoft_registered,api_1_data_phone_social_profiles_professional_linkedin_registered,api_1_data_phone_social_profiles_messaging_telegram_registered,api_1_data_phone_social_profiles_messaging_telegram_privacyStatus,api_1_data_phone_social_profiles_messaging_whatsapp_registered,api_1_data_phone_social_profiles_messaging_whatsapp_privacyStatus,api_1_data_phone_social_profiles_messaging_skype_registered,api_1_data_email_social_profiles_consumerElectronics_apple_registered,api_1_data_email_social_profiles_emailProvider_google_registered,api_1_data_email_social_profiles_emailProvider_yahoo_registered,api_1_data_email_social_profiles_ecommerce_amazon_registered,api_1_data_email_social_profiles_ecommerce_ebay_registered,api_1_data_email_social_profiles_socialMedia_facebook_registered,api_1_data_email_social_profiles_socialMedia_instagram_registered,api_1_data_email_social_profiles_socialMedia_pinterest_registered,api_1_data_email_social_profiles_socialMedia_twitter_registered,api_1_data_email_social_profiles_messaging_skype_registered,api_1_data_email_social_profiles_professional_wordpress_registered,api_1_data_email_social_profiles_professional_linkedin_registered,api_1_data_email_social_profiles_professional_microsoft_registered,api_1_data_email_social_profiles_professional_hubspot_registered,api_1_data_email_social_profiles_entertainment_spotify_registered,api_1_data_email_social_profiles_entertainment_disneyplus_registered,api_1_data_email_social_profiles_financial_paypal_registered,api_1_data_email_basic_deliverable,api_1_data_email_basic_domainDetails_registered,api_1_data_email_basic_domainDetails_disposable,api_1_data_email_basic_domainDetails_freeProvider,api_1_data_email_basic_domainDetails_websiteExists,api_1_data_email_basic_domainDetails_acceptAll,api_1_data_email_basic_breach_isBreached,api_1_Eng_originalCarrier,api_1_Eng_currentCarrier,api_1_Eng_consumer_segment,api_1_data_phone_basic_portedHistory_numberOfPorts,api_1_data_phone_social_summary_registeredProfiles,api_1_data_phone_social_summary_registeredEmailProviderProfiles,api_1_data_phone_social_summary_registeredEcommerceProfiles,api_1_data_phone_social_summary_registeredSocialMediaProfiles,api_1_data_phone_social_summary_registeredProfessionalProfiles,api_1_data_phone_social_summary_registeredMessagingProfiles,api_1_data_phone_social_summary_numberOfPhotosReturned,api_1_data_email_social_summary_registeredProfiles,api_1_data_email_social_summary_registeredConsumerElectronicsProfiles,api_1_data_email_social_summary_registeredEmailProviderProfiles,api_1_data_email_social_summary_registeredEcommerceProfiles,api_1_data_email_social_summary_registeredSocialMediaProfiles,api_1_data_email_social_summary_registeredMessagingProfiles,api_1_data_email_social_summary_registeredProfessionalProfiles,api_1_data_email_social_summary_registeredEntertainmentProfiles,api_1_data_email_social_summary_registeredFinancialProfiles,api_1_data_email_social_summary_numberOfNamesReturned,api_1_data_email_basic_breach_noOfBreaches,api_1_data_email_basic_emailTenure,api_1_Eng_data_email_basic_breach_lastBreach_delta,api_1_Eng_platform_availability,api_1_Eng_data_phone_social_profiles_messaging_whatsapp_photo_availability,api_1_Eng_frequent_user,api_1_Eng_registeredEcommerceProfiles_comparison,api_1_Eng_registeredEmailProviderProfiles_comparison,api_1_Eng_registeredMessagingProfiles_comparison,api_1_Eng_registeredProfessionalProfiles_comparison,api_1_Eng_available_top3_segments,name_available,name_similarity_match_with_email_before_domain,location_present,location,photo_present,employement_history_count,recent_employer_name,education_history_count,designation_present,current_designation,number_of_designation,designation_changed,no_of_different_employer,work_experiance,joining_date_present_of_employemnt,exit_date_present_of_previous_employment,difference_between_no_joining_vs_no_exist,employer_logo_present,no_of_employer_logo_present,no_of_employement_linkedin_url_present,field_of_study_present,field_of_degree_present,field_of_school_present,first_education_completed_year_ago,current_exp_in_recent_company,total_time_spent_on_study,list_of_degree_name
21HSUL,0,MobileApp,95999,100% - financing,NEX_TOKEN,DUBAI,Egypt,HOME,33,ENBD,17500.0,0.0,PRIME,11618,2020,3,5,1503.984333,1503.984333,8.59419619,AE,True,False,False,NOT_SUPPORTED,False,False,False,False,,False,,,,True,PUBLIC,False,True,True,False,False,False,True,,False,True,False,False,,False,False,False,False,False,True,True,False,True,True,False,False,DU,DU,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,1.0,0.0,0.0,1.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,[]
CT5WHL,0,MobileApp,58799,80% - financing,NEX_TOKEN,DUBAI,Sri Lanka,HUB,32,ADCB,7500.0,1910.0,PRIME,72782,2021,2,5,921.1843333,2831.184333,37.74912444,AE,True,False,False,NOT_SUPPORTED,False,True,True,False,True,True,,,,True,PRIVATE,False,True,True,False,True,True,True,False,True,False,False,False,,True,False,False,False,False,True,True,False,True,True,False,False,ETISALAT,,,,5.0,0.0,1.0,2.0,1.0,1.0,0.0,8.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,,,7.0,0.0,0.0,1.0,0.0,0.0,0.0,,True,0.58,True,"Colombo, Western Province, Sri Lanka",True,4.0,Alumart Engineering (Pvt)Ltd,1.0,True,Mechanical Engineer,4.0,True,4.0,4.45,True,True,1.0,True,2.0,4.0,True,True,True,7.0,2.56,3,
UQM9XZ,0,MobileApp,64499,100% - financing,EX_TOKEN,DUBAI,Philippines,HOME,39,ENBD,10750.0,1200.0,PRIME,15455,2023,0,5,1010.484333,2210.484333,20.56264496,AE,True,False,False,NOT_SUPPORTED,True,True,False,False,False,False,,False,,True,PRIVATE,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,True,False,False,True,True,False,True,True,False,True,ETISALAT,DU,,,3.0,1.0,1.0,0.0,0.0,1.0,0.0,12.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,0.0,1.0,1.0,5.3,1935.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,0.78,True,"Dubai, United Arab Emirates",True,5.0,The First Collection,1.0,True,Front Office Leader,5.0,True,4.0,15.91,True,True,1.0,True,4.0,5.0,True,True,True,17.0,0.98,3,
5USGVO,0,MobileApp,69999,100% - financing,NEX_TOKEN,DUBAI,Zimbabwe,HOME,49,Others,17000.0,1.0,PRIME,64703,2020,3,5,1096.651,1097.651,6.456770588,AE,True,False,False,NOT_SUPPORTED,True,True,True,True,False,True,,False,,True,PUBLIC,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,True,False,True,True,False,False,ETISALAT,,,,6.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,[]
OG47C4,0,MobileApp,34999,100% - financing,NEX_TOKEN,DUBAI,Philippines,HOME,28,DIB,4500.0,800.0,LITE,174892,2016,7,4,664.981,1464.981,32.55513333,AE,True,False,False,NOT_SUPPORTED,True,True,True,True,True,True,,,,True,PUBLIC,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,True,False,False,ETISALAT,,,,7.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,2.0,1.0,0.0,1.0,0.0,0.0,0.0,,True,0.26,True,"Dubai, United Arab Emirates",True,10.0,my own business,1.0,True,Personal Fitness Trainer,10.0,True,9.0,4.94,True,True,3.0,True,4.0,10.0,True,True,True,8.0,1.98,4,"[""Bachelor's degree, Marketing/Marketing Management, General""]"
L9GNU5,1,MobileApp,42199,100% - financing,NEX_TOKEN,ABU_DHABI,Syrian Arab Republic,HOME,26,Others,4000.0,1.0,PRIME,112639,2022,1,5,661.1176667,662.1176667,16.55294167,AE,True,False,False,NOT_SUPPORTED,False,True,True,False,,False,,,,True,PUBLIC,False,False,True,False,True,False,False,,True,False,False,False,True,False,False,False,False,False,True,True,False,True,True,False,False,DU,DU,,,3.0,0.0,1.0,1.0,0.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,5.0,1.0,0.0,0.0,0.0,0.0,0.0,,True,0.59,True,"Abu Dhabi Emirate, United Arab Emirates",True,2.0,Superlink Technology LLC,1.0,True,Technical Engineer,2.0,True,2.0,1.62,True,True,1.0,True,1.0,2.0,True,True,True,2.0,1.81,5,
1P9UIT,0,MobileApp,87999,100% - financing,EX_TOKEN,DUBAI,Pakistan,HOME,31,ENBD,6500.0,0.0,PRIME,46,2023,0,5,1378.651,1378.651,21.21001539,AE,True,False,False,NOT_SUPPORTED,True,True,True,True,True,True,,True,PRIVATE,True,PRIVATE,False,True,True,False,True,False,True,,True,True,False,False,True,True,False,False,False,False,True,True,False,True,True,False,True,ETISALAT,,,,8.0,1.0,1.0,3.0,1.0,2.0,0.0,10.0,2.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,2.22,810.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,[]
S9EBEQ,0,MobileApp,112999,80% - financing,NEX_TOKEN,DUBAI,India,HUB,35,Others,21600.0,880.0,PRIME,31242,2022,1,5,1770.317667,2650.317667,12.2699892,AE,True,False,False,NOT_SUPPORTED,False,False,True,True,,True,,True,PRIVATE,True,PRIVATE,True,True,True,False,True,False,True,True,True,True,True,False,True,True,False,False,False,False,True,True,False,True,True,False,True,DU,DU,,,6.0,0.0,0.0,2.0,1.0,3.0,0.0,13.0,2.0,1.0,2.0,4.0,1.0,2.0,0.0,0.0,1.0,10.0,12.26,810.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,,True,0.87,True,"Dubai, United Arab Emirates",True,7.0,Cracknell,7.0,True,Planning Engineer,7.0,True,6.0,11.95,True,True,0.0,True,5.0,7.0,True,True,True,19.0,1.15,27,"['Master of Laws - LLM, Construction Law and Arbitration', 'Master of Technology - MTech, Construction Management', 'B.E.(CIVIL), engineering', 'PGP, Construction Management', 'Bachelor’s Degree, Civil Engineering', 'High School, Science', 'Primary and secondary schooling']"
6USQFA,0,MobileApp,52999,80% - financing,EX_TOKEN,DUBAI,Italy,HUB,27,ENBD,10000.0,1000.0,PRIME,37771,2023,0,5,830.3176667,1830.317667,18.30317667,AE,True,False,False,NOT_SUPPORTED,False,False,False,False,,False,,,,True,PUBLIC,False,True,True,False,False,False,False,,False,False,False,False,True,True,False,False,False,False,True,True,False,True,True,False,False,DU,DU,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,4.0,1.0,0.0,0.0,0.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,
L2H6FD,0,MobileApp,38590,100% - financing,EX_TOKEN,ABU_DHABI,Sudan,HOME,28,Others,8050.0,750.0,PRIME,144394,2019,4,5,604.5766667,1354.576667,16.82703934,AE,True,False,False,NOT_SUPPORTED,False,True,True,True,True,True,,False,,True,PUBLIC,False,True,True,False,False,False,,True,False,True,True,False,True,True,False,False,False,False,True,True,False,True,True,False,True,ETISALAT,,,,6.0,0.0,1.0,3.0,1.0,1.0,1.0,8.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,0.2,21.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,,True,0.72,True,"Abu Dhabi Emirate, United Arab Emirates",True,5.0,e& enterprise Cloud,1.0,True,IT Specialist,5.0,True,4.0,5.41,True,True,1.0,True,5.0,5.0,True,True,True,7.0,0.89,5,
E12YCH,0,MobileApp,157999,100% - financing,NEX_TOKEN,DUBAI,India,HUB,36,Others,15000.0,1400.0,PRIME,46825,2020,3,5,2475.317667,3875.317667,25.83545111,AE,True,False,False,NOT_SUPPORTED,True,True,,False,True,True,,,,True,PUBLIC,False,True,True,True,True,False,False,True,True,False,True,False,,True,False,False,False,False,True,True,False,True,True,False,True,ETISALAT,,,,5.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,8.77,1410.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,,True,0.85,True,"Dubai, United Arab Emirates",True,1.0,Sketchnbuild,1.0,True,Production Manager,1.0,True,1.0,,False,False,,False,,1.0,False,False,True,,8.49,0,[]
ZKFVXW,0,MobileApp,118999,100% - financing,EX_TOKEN,ABU_DHABI,Portugal,HUB,41,ENBD,32000.0,2500.0,PRIME,75615,2018,5,5,1864.317667,4364.317667,13.63849271,AE,True,False,False,NOT_SUPPORTED,True,True,True,False,,False,,,,True,PRIVATE,False,,True,False,True,False,True,True,True,False,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,DU,DU,,,4.0,1.0,1.0,1.0,0.0,1.0,0.0,12.0,0.0,1.0,2.0,3.0,1.0,2.0,2.0,0.0,1.0,12.0,16.1,714.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,,True,0.89,True,"Dubai, United Arab Emirates",True,6.0,Abu Dhabi Media (ADM),2.0,True,Outside Broadcast TV Director,6.0,True,4.0,17.29,True,True,3.0,True,3.0,6.0,True,True,True,19.0,3.07,1,"['Curso de Câmara e tecnico de iluminação, Cinema, TV e Vídeo']"
VZ7T9U,1,MobileApp,47999,100% - financing,NEX_TOKEN,ABU_DHABI,Egypt,HOME,34,DIB,11500.0,4000.0,PRIME,57726,2019,4,5,751.9843333,4751.984333,41.3216029,AE,True,False,False,NOT_SUPPORTED,False,False,True,False,,False,,True,PRIVATE,True,PUBLIC,False,True,True,False,True,True,True,False,False,False,True,False,True,True,False,False,False,False,True,True,False,True,True,False,True,DU,DU,,,3.0,0.0,0.0,1.0,0.0,2.0,1.0,11.0,2.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,5.6,72.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,,True,0.93,True,"Abu Dhabi Emirate, United Arab Emirates",True,7.0,Inditex,1.0,True,Store Operations Manager - zara,7.0,True,6.0,10.47,True,True,1.0,True,4.0,7.0,False,False,True,,2.15,0,[]
IQIKCO,0,WebApp,112690,80% - financing,NEX_TOKEN,DUBAI,Slovakia,HOME,36,Others,39500.0,1.0,PRIME,75532,2020,3,5,1765.476667,1766.476667,4.472092827,AE,True,False,False,NOT_SUPPORTED,False,False,False,True,False,False,,False,,False,,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,DU,DU,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,[]
CMXHFS,0,MobileApp,69999,80% - financing,NEX_TOKEN,DUBAI,Pakistan,HOME,38,ENBD,21000.0,1.0,PRIME,40729,2022,1,5,1096.651,1097.651,5.226909524,AE,True,False,False,NOT_SUPPORTED,False,True,True,False,True,False,,,,True,PRIVATE,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,DU,DU,,,4.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,[]
